Code,Name,Title
LAYOUT_BLANK,Blank,
LAYOUT_CTGY,Category Display,
LAYOUT_LANDING_PAGE_1,Landing Page #1,
LAYOUT_LANDING_PAGE_2,Landing Page #2,
LAYOUT_PROD,Product Details,
LAYOUT_STOREFRONT,Storefront,
